app_id,name,developer,publisher,composite_score,tier,recognition_pct,headroom_pct,fit_pct,review_total,review_positive_ratio,review_score_bucket,owners_range,owners_mid,price_usd,metacritic_score,has_controller_support,is_indie,has_coop,has_multiplayer,release_year,genres,tags,screen_review_total_ge_4000,screen_quality_ge_0.70,screen_owners_le_750k,screen_monetisation_paid,screen_has_controller_support,screen_gamepass_availability
1288310,Firework,Shiying Studio,Gamera Games,0.974,Anchor,0.995,0.9688,0.8901,39637,0.9793,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,9.99,,True,True,False,False,2021,Indie,2D|Atmospheric|Conversation|Drama|Hand-drawn|Horror|Indie|Mystery|Narration|Old School|Psychological Horror|Puzzle|Puzzle Platformer|RPG|Retro,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
787480,Phoenix Wright: Ace Attorney Trilogy,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",0.971,Anchor,0.9875,0.9476,0.9825,33505,0.9763,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,29.99,80,True,False,False,False,2019,Adventure,2D|Adventure|Anime|Classic|Comedy|Conversation|Crime|Cult Classic|Detective|Dynamic Narration|Funny|Great Soundtrack|LGBTQ+|Memes|Mystery,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
253230,A Hat in Time,Gears for Breakfast,Gears for Breakfast,0.9687,Anchor,1.0,0.9863,0.7416,50390,0.9786,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,29.99,79,True,True,True,True,2017,Adventure|Indie,3D Platformer|Action|Adventure|Co-op|Collectathon|Colorful|Comedy|Cute|Exploration|Family Friendly|Female Protagonist|Funny|Great Soundtrack|Indie|Kickstarter,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1135690,Unpacking,Witch Beam,Humble Games,0.9662,Anchor,0.9863,0.9451,0.9501,32385,0.9298,Very Positive,"500,000 .. 1,000,000",750000.0,19.99,83,True,True,False,False,2021,Casual|Indie|Simulation,2D|Atmospheric|Casual|Colorful|Cute|Family Friendly|Female Protagonist|Hidden Object|Indie|Inventory Management|Isometric|LGBTQ+|Life Sim|Pixel Graphics|Point & Click,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
2593370,The Hungry Lamb: Traveling in the Late Ming Dynasty,零创游戏(ZerocreationGame),"零创游戏(ZerocreationGame), 2P Games",0.9556,Anchor,0.9938,0.965,0.7266,38601,0.967,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,7.49,,True,True,False,False,2024,Adventure|Indie|RPG,Adventure|Anime|Casual|Cooking|Cute|Dark|Dating Sim|Drama|Historical|Interactive Fiction|Medieval|Multiple Endings|Mystery|Psychological Horror|RPG,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1562700,SANABI,WONDER POTION,NEOWIZ,0.9546,Anchor,0.9813,0.9313,0.9139,30102,0.9745,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,14.99,,True,True,False,False,2023,Action|Adventure|Indie,2D|2D Platformer|Action|Action-Adventure|Adventure|Atmospheric|Cyberpunk|Difficult|Dystopian|Great Soundtrack|Indie|Linear|Pixel Graphics|Platformer|Precision Platformer,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
2273430,BlazBlue Entropy Effect,91Act,91Act,0.9531,Anchor,0.9463,0.985,0.8589,23190,0.9447,Very Positive,"200,000 .. 500,000",350000.0,19.99,,True,True,True,True,2024,Action|Adventure|Indie,2D|2D Fighter|2D Platformer|Action|Action Roguelike|Action-Adventure|Adventure|Anime|Cyberpunk|Hack and Slash|Indie|Multiple Endings|Pixel Graphics|Platformer|Post-apocalyptic,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
501300,What Remains of Edith Finch,Giant Sparrow,Annapurna Interactive,0.9316,Anchor,0.9963,0.97,0.4544,41326,0.9572,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,19.99,89,True,True,False,False,2017,Adventure|Indie,Adventure|Atmospheric|Dark|Drama|Exploration|Female Protagonist|First-Person|Great Soundtrack|Horror|Indie|Lovecraftian|Mystery|Narration|Psychological Horror|Puzzle,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1369630,ENDER LILIES: Quietus of the Knights,"Live Wire, Adglobe",Binary Haze Interactive,0.9243,Anchor,0.9888,0.9551,0.4794,35018,0.9417,Very Positive,"500,000 .. 1,000,000",750000.0,24.99,86,True,True,False,False,2021,Action|Indie|RPG,2D|Action|Action RPG|Anime|Atmospheric|Dark|Dark Fantasy|Difficult|Dragons|Female Protagonist|Great Soundtrack|Hand-drawn|Indie|Medieval|Metroidvania,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
960170,DJMAX RESPECT V,NEOWIZ,NEOWIZ,0.9242,Anchor,0.97,0.8989,0.7965,26951,0.8891,Very Positive,"500,000 .. 1,000,000",750000.0,49.99,,True,False,False,True,2020,Action|Casual|Sports,2D|3D|Action|Anime|Arcade|Casual|Competitive|Cute|Difficult|Early Access|Fantasy|Great Soundtrack|Multiplayer|Music|Pixel Graphics,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
