app_id,category_count,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,category_18,category_19,category_20,category_21,category_22,category_23
10,6,Family Sharing,Multi-player,Online PvP,PvP,Shared/Split Screen PvP,Valve Anti-Cheat enabled,,,,,,,,,,,,,,,,,
20,7,Family Sharing,Multi-player,Online PvP,PvP,Remote Play Together,Shared/Split Screen PvP,Valve Anti-Cheat enabled,,,,,,,,,,,,,,,,
30,3,Family Sharing,Multi-player,Valve Anti-Cheat enabled,,,,,,,,,,,,,,,,,,,,
40,7,Family Sharing,Multi-player,Online PvP,PvP,Remote Play Together,Shared/Split Screen PvP,Valve Anti-Cheat enabled,,,,,,,,,,,,,,,,
50,5,Family Sharing,Multi-player,Remote Play Together,Single-player,Valve Anti-Cheat enabled,,,,,,,,,,,,,,,,,,
60,5,Family Sharing,Multi-player,Online PvP,PvP,Valve Anti-Cheat enabled,,,,,,,,,,,,,,,,,,
70,11,Family Sharing,Full controller support,Multi-player,Online PvP,PvP,Remote Play on Phone,Remote Play on Tablet,Remote Play Together,Single-player,Steam Cloud,Valve Anti-Cheat enabled,,,,,,,,,,,,
80,4,Family Sharing,Multi-player,Single-player,Valve Anti-Cheat enabled,,,,,,,,,,,,,,,,,,,
130,3,Family Sharing,Remote Play Together,Single-player,,,,,,,,,,,,,,,,,,,,
219,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
220,11,Captions available,Family Sharing,Full controller support,Includes Source SDK,Remote Play on Phone,Remote Play on Tablet,Remote Play Together,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,
240,8,Cross-Platform Multiplayer,Family Sharing,Includes Source SDK,Multi-player,Stats,Steam Achievements,Steam Cloud,Valve Anti-Cheat enabled,,,,,,,,,,,,,,,
280,3,Family Sharing,Remote Play Together,Single-player,,,,,,,,,,,,,,,,,,,,
300,8,Cross-Platform Multiplayer,Family Sharing,Includes Source SDK,Multi-player,Stats,Steam Achievements,Steam Trading Cards,Valve Anti-Cheat enabled,,,,,,,,,,,,,,,
320,4,Family Sharing,Includes Source SDK,Multi-player,Valve Anti-Cheat enabled,,,,,,,,,,,,,,,,,,,
340,4,Remote Play Together,Для одного игрока,Поддержка комментариев,Семейный доступ,,,,,,,,,,,,,,,,,,,
360,3,Familienbibliothek,Mehrspieler,Valve Anti-Cheat integriert,,,,,,,,,,,,,,,,,,,,
380,10,Remote Play Together,Steam Cloud,Для одного игрока,Достижения Steam,Поддержка комментариев,Поддержка субтитров,Полная поддержка контроллеров,С инструментами Source SDK,Семейный доступ,Статистика,,,,,,,,,,,,,
400,11,Captions available,Commentary available,Family Sharing,Full controller support,Includes level editor,Includes Source SDK,Remote Play on Phone,Remote Play on Tablet,Remote Play Together,Single-player,Steam Achievements,,,,,,,,,,,,
410,4,Captions available,Game demo,Partial Controller Support,Single-player,,,,,,,,,,,,,,,,,,,
420,10,Captions available,Commentary available,Family Sharing,Full controller support,Includes Source SDK,Remote Play Together,Single-player,Stats,Steam Achievements,Steam Cloud,,,,,,,,,,,,,
440,14,Captions available,Commentary available,Cross-Platform Multiplayer,In-App Purchases,Includes level editor,Multi-player,Partial Controller Support,Remote Play on Phone,Remote Play on Tablet,Stats,Steam Achievements,Steam Trading Cards,Steam Workshop,Valve Anti-Cheat enabled,,,,,,,,,
500,15,Captions available,Co-op,Commentary available,Family Sharing,Full controller support,Includes Source SDK,Multi-player,Remote Play on TV,Remote Play Together,Single-player,Stats,Steam Achievements,Steam Cloud,Steam Leaderboards,Valve Anti-Cheat enabled,,,,,,,,
550,22,Captions available,Co-op,Commentary available,Family Sharing,Full controller support,Includes Source SDK,Multi-player,Online Co-op,Online PvP,PvP,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Single-player,Stats,Steam Achievements,Steam Cloud,Steam Timeline,Steam Trading Cards,Steam Workshop,Valve Anti-Cheat enabled,
570,8,Включён античит Valve,Внутриигровые покупки,Временная шкала Steam,Для нескольких игроков,Коллекционные карточки Steam,Кооператив,Мастерская Steam,Предметы для SteamVR,,,,,,,,,,,,,,,
620,20,Captions available,Co-op,Commentary available,Family Sharing,Full controller support,Includes level editor,Multi-player,Online Co-op,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Shared/Split Screen,Shared/Split Screen Co-op,Single-player,Stats,Steam Achievements,Steam Cloud,Steam Trading Cards,Steam Workshop,,,
630,9,Captions available,Co-op,Includes level editor,Multi-player,Remote Play Together,Single-player,Stats,Steam Achievements,Steam Cloud,,,,,,,,,,,,,,
730,11,Karty kolekcjonerskie Steam,Oś czasu Steam,Remote Play na tablecie,Remote Play na telefonie,Remote Play na telewizorze,Statystyki,Warsztat Steam,Wieloosobowa,Wieloplatformowa wieloosobowa,Włączona funkcja Anti-Cheat,Zakupy w aplikacji,,,,,,,,,,,,
1002,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
1003,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
1200,4,Family Sharing,Multi-player,Steam Achievements,Valve Anti-Cheat enabled,,,,,,,,,,,,,,,,,,,
1250,11,Co-op,Cross-Platform Multiplayer,Family Sharing,Includes level editor,Multi-player,Single-player,Stats,Steam Achievements,Steam Trading Cards,Steam Workshop,Valve Anti-Cheat enabled,,,,,,,,,,,,
1300,3,Family Sharing,Single-player,Stats,,,,,,,,,,,,,,,,,,,,
1313,6,Family Sharing,LAN PvP,Multi-player,Online PvP,PvP,Single-player,,,,,,,,,,,,,,,,,
1500,5,Family Sharing,Full controller support,Includes level editor,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,
1502,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
1510,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
