app_id,name,release_date,type,is_free,developer,publisher,price_usd,owners_min,owners_max,concurrent_users_yesterday,genre_count,language_count;;;
10,Counter-Strike,2000-11-01,game,false,Valve,Valve,9.99,10000000,20000000,11457,1,8;;;
20,Team Fortress Classic,1999-04-01,game,false,Valve,Valve,4.99,5000000,10000000,52,1,9;;;
30,Day of Defeat,2003-05-01,game,false,Valve,Valve,4.99,5000000,10000000,82,1,5;;;
40,Deathmatch Classic,2001-06-01,game,false,Valve,Valve,4.99,5000000,10000000,6,1,9;;;
50,Half-Life: Opposing Force,1999-11-01,game,false,Gearbox Software,Valve,4.99,2000000,5000000,99,1,4;;;
60,Ricochet,2000-11-01,game,false,Valve,Valve,4.99,5000000,10000000,3,1,9;;;
70,Half-Life,1998-11-08,game,false,Valve,Valve,9.99,10000000,20000000,794,1,8;;;
80,Counter-Strike: Condition Zero,2004-03-01,game,false,Valve,Valve,9.99,5000000,10000000,426,1,8;;;
130,Half-Life: Blue Shift,2001-06-01,game,false,Gearbox Software,Valve,4.99,1000000,2000000,36,1,3;;;
219,Half-Life 2: Demo,2004-12-01,demo,true,Valve,Valve,0.0,0,20000,8,1,1;;;
220,Half-Life 2,2004-11-16,game,false,Valve,Valve,9.99,2000000,5000000,734,1,18;;;
240,Counter-Strike: Source,2004-11-01,game,false,Valve,Valve,9.99,2000000,5000000,8736,1,12;;;
280,Half-Life: Source,2004-06-01,game,false,Valve,Valve,9.99,500000,1000000,29,1,11;;;
300,Day of Defeat: Source,2010-07-12,game,false,Valve,Valve,9.99,5000000,10000000,347,1,1;;;
320,Half-Life 2: Deathmatch,2004-11-01,game,false,Valve,Valve,4.99,500000,1000000,144,1,1;;;
340,Half-Life 2: Lost Coast,,game,false,Valve,Valve,0.0,20000000,50000000,8,1,9;;;
360,Half-Life Deathmatch: Source,,game,false,Valve,Valve,9.99,5000000,10000000,6,1,1;;;
380,Half-Life 2: Episode One,,game,false,Valve,Valve,7.99,2000000,5000000,111,1,18;;;
400,Portal,2007-10-10,game,false,Valve,Valve,9.99,10000000,20000000,727,1,27;;;
410,Portal: First Slice,2008-05-08,demo,true,Valve,Valve,0.0,0,20000,7,1,17;;;
420,Half-Life 2: Episode Two,2007-10-10,game,false,Valve,Valve,7.99,5000000,10000000,168,1,17;;;
440,Team Fortress 2,2007-10-10,game,true,Valve,Valve,0.0,50000000,100000000,59701,2,27;;;
500,Left 4 Dead,2008-11-17,game,false,Valve,Valve,9.99,5000000,10000000,380,1,28;;;
550,Left 4 Dead 2,2009-11-16,game,false,Valve,Valve,9.99,50000000,100000000,19636,1,28;;;
570,Dota 2,,game,true,Valve,Valve,0.0,200000000,500000000,502614,3,28;;;
620,Portal 2,2011-04-18,game,false,Valve,Valve,9.99,10000000,20000000,2999,2,27;;;
630,Alien Swarm,2010-07-19,game,true,Valve,Valve,0.0,2000000,5000000,16,1,1;;;
730,Counter-Strike 2,,game,true,Valve,Valve,0.0,100000000,200000000,1180219,2,29;;;
1002,Rag Doll Kung Fu,2005-10-12,game,false,Mark Healey,Mark Healey,0.99,20000,50000,0,1,1;;;
1003,Rag Doll Kung Fu Demo,2005-10-12,demo,true,Mark Healey,Mark Healey,0.0,0,20000,3,1,1;;;
1200,Red Orchestra: Ostfront 41-45,2006-03-14,game,false,Tripwire Interactive,Tripwire Interactive,4.99,200000,500000,14,1,3;;;
1250,Killing Floor,2009-05-14,game,false,Tripwire Interactive,Tripwire Interactive,19.99,2000000,5000000,240,1,8;;;
1300,SiN Episodes: Emergence,2006-05-10,game,false,Ritual Entertainment,Ritual Entertainment,9.99,100000,200000,0,1,3;;;
"1313,SiN: Gold,2020-03-18,game,false,""Ritual Entertainment, Nightdive Studios"",Nightdive Studios,9.99,0,20000,0,1,2";;;
1500,Darwinia,2005-07-14,game,false,Introversion Software,Introversion Software,9.99,100000,200000,2,2,5;;;
1502,Darwinia Demo,2005-07-14,demo,true,Introversion Software,Introversion Software,0.0,0,20000,1,2,1;;;
1510,Uplink,2006-08-23,game,false,Introversion Software,Introversion Software,9.99,500000,1000000,4,2,1;;;
1520,DEFCON,2006-09-29,game,false,Introversion Software,Introversion Software,9.99,200000,500000,16,2,5;;;
1522,DEFCON Demo,2006-09-29,demo,true,Introversion Software,Introversion Software,0.0,0,20000,13,2,1;;;
1530,Multiwinia,2008-09-19,game,false,Introversion Software,Introversion Software,9.99,50000,100000,1,1,5;;;
1540,Multiwinia Demo,2008-09-19,demo,true,Introversion Software,Introversion Software,0.0,0,20000,3,1,5;;;
1600,Dangerous Waters,2006-02-07,game,false,Sonalysts,Strategy First,2.99,100000,200000,1,1,1;;;
1610,Space Empires IV Deluxe,2006-02-07,game,false,Malfador Machinations,Strategy First,9.99,50000,100000,25,1,1;;;
