fit_rank,app_id,name,release_date,genres,top_matching_tags,price_cents,price_usd,price_band,review_score,total,owners_range,owners_mid,performance_score,profile_fit_score,priority_score,evidence_tier,in_winner_cohort,in_top50_reference
1,418030,Subsistence,2016-10-25,"Action, Early Access","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Difficult, Building",1399,13.99,$10-14.99,6,12640,"500,000 - 1,000,000",750000,-0.5905,100.0,81.97,high,0,0
2,648800,Raft,2022-06-20,"Adventure, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Massively Multiplayer",1999,19.99,$15-19.99,8,325895,"10,000,000 - 20,000,000",15000000,1.8502,99.15,94.38,high,1,0
3,526160,The Wild Eight,2019-10-03,"Action, Adventure, Indie, RPG, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Difficult, Survival",2499,24.99,$20-29.99,6,7257,"200,000 - 500,000",350000,-0.9711,98.52,79.23,high,0,0
4,387990,Scrap Mechanic,2016-01-19,"Action, Adventure, Early Access, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Moddable, Sandbox, Open World, Building, Survival",1999,19.99,$15-19.99,8,109355,"5,000,000 - 10,000,000",7500000,1.2971,98.18,90.99,high,1,0
5,1159690,Voidtrain,2023-05-09,"Action, Adventure, Early Access, Indie, RPG, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",2999,29.99,$20-29.99,6,5053,"200,000 - 500,000",350000,-1.0987,96.43,77.52,high,0,0
6,322330,Don't Starve Together,2016-04-21,"Action, Adventure, Indie, RPG, Simulation, Strategy","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Difficult, Survival",1499,14.99,$10-14.99,9,469493,"20,000,000 - 50,000,000",35000000,2.4687,96.18,96.15,high,1,1
7,393420,Hurtworld,2019-12-10,"Action, Adventure, Simulation","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Crafting",2499,24.99,$20-29.99,6,31203,"500,000 - 1,000,000",750000,-0.2721,95.18,81.24,high,0,0
8,526870,Satisfactory,,"Aventure, Indépendant, Simulation, Stratégie","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Base Building",3999,39.99,$30-39.99,9,191628,"5,000,000 - 10,000,000",7500000,1.7787,94.84,91.85,high,1,0
9,951440,Volcanoids,2019-01-29,"Action, Adventure, Early Access, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",1999,19.99,$15-19.99,8,8503,"200,000 - 500,000",350000,-0.3473,93.89,80.2,high,0,0
10,983870,FOUNDRY,2024-05-02,"Early Access, Indie, Simulation, Strategy","Co-op, Online Co-Op, Multiplayer, Moddable, Sandbox, Open World, Building, Base Building",2999,29.99,$20-29.99,8,1854,"200,000 - 500,000",350000,-0.8838,93.21,77.04,medium,0,0
11,496460,Life is Feudal: Forest Village,2017-05-26,"Indie, Simulation, Strategy","Co-op, Multiplayer, Sandbox, Open World, Building, Survival, Base Building, Crafting",2499,24.99,$20-29.99,5,5800,"200,000 - 500,000",350000,-1.3341,93.06,74.59,high,0,0
12,299740,Miscreated,2018-12-18,"Action, Adventure, Indie, Massively Multiplayer, RPG, Simulation, Strategy","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Massively Multiplayer, Survival, Crafting",2999,29.99,$20-29.99,5,31669,"500,000 - 1,000,000",750000,-0.551,92.87,78.62,high,0,0
