app_id,language
10,English
10,French
10,German
10,Italian
10,Spanish - Spain
10,Simplified Chinese
10,Traditional Chinese
10,Korean
20,English
20,French
20,German
20,Italian
20,Spanish - Spain
20,Korean
20,Russian
20,Simplified Chinese
20,Traditional Chinese
30,English
30,French
30,German
30,Italian
30,Spanish - Spain
40,English
40,French
40,German
40,Italian
40,Spanish - Spain
40,Korean
40,Russian
40,Simplified Chinese
40,Traditional Chinese
50,English
50,French
50,German
50,Korean
60,English
60,French
60,German
60,Italian
60,Spanish - Spain
60,Korean
60,Russian
60,Simplified Chinese
60,Traditional Chinese
70,English
70,French
70,German
70,Italian
70,Spanish - Spain
70,Simplified Chinese
70,Traditional Chinese
70,Korean
80,English
80,French
80,German
80,Italian
80,Spanish - Spain
80,Simplified Chinese
80,Traditional Chinese
80,Korean
130,English
130,French
130,German
219,English
220,English
220,French
220,German
220,Italian
220,Korean
220,Spanish - Spain
220,Russian
220,Simplified Chinese
220,Traditional Chinese
220,Dutch
220,Danish
220,Finnish
220,Japanese
220,Norwegian
220,Polish
220,Portuguese - Portugal
220,Swedish
220,Thai
240,English
240,French
240,German
240,Italian
240,Japanese
240,Korean
240,Spanish - Spain
240,Russian
240,Simplified Chinese
240,Traditional Chinese
240,Thai
240,Turkish
280,English
280,French
280,German
280,Italian
280,Japanese
280,Spanish - Spain
280,Russian
280,Simplified Chinese
280,Traditional Chinese
280,Thai
280,Korean
300,English
320,English
340,English
340,French
340,German
340,Italian
340,Spanish - Spain
340,Russian
340,Simplified Chinese
340,Traditional Chinese
340,Korean
360,English
380,English
380,French
380,German
380,Italian
380,Korean
380,Spanish - Spain
380,Russian
380,Simplified Chinese
380,Traditional Chinese
380,Dutch
380,Danish
380,Finnish
380,Japanese
380,Norwegian
380,Polish
380,Portuguese - Portugal
380,Swedish
380,Thai
400,English
400,French
400,German
400,Russian
400,Danish
400,Dutch
400,Finnish
400,Italian
400,Japanese
400,Norwegian
400,Polish
400,Portuguese - Portugal
