app_id,owners_range,price_cents,price_usd
10,"10,000,000 - 20,000,000",999,9.99
20,"5,000,000 - 10,000,000",499,4.99
30,"5,000,000 - 10,000,000",499,4.99
40,"5,000,000 - 10,000,000",499,4.99
50,"2,000,000 - 5,000,000",499,4.99
60,"5,000,000 - 10,000,000",499,4.99
70,"10,000,000 - 20,000,000",999,9.99
80,"5,000,000 - 10,000,000",999,9.99
130,"1,000,000 - 2,000,000",499,4.99
219,"0 - 20,000",0,0.0
220,"2,000,000 - 5,000,000",999,9.99
240,"2,000,000 - 5,000,000",999,9.99
280,"500,000 - 1,000,000",999,9.99
300,"5,000,000 - 10,000,000",999,9.99
320,"500,000 - 1,000,000",499,4.99
340,"20,000,000 - 50,000,000",0,0.0
360,"5,000,000 - 10,000,000",999,9.99
380,"2,000,000 - 5,000,000",799,7.99
400,"10,000,000 - 20,000,000",999,9.99
410,"0 - 20,000",0,0.0
420,"5,000,000 - 10,000,000",799,7.99
440,"50,000,000 - 100,000,000",0,0.0
500,"5,000,000 - 10,000,000",999,9.99
550,"50,000,000 - 100,000,000",999,9.99
570,"200,000,000 - 500,000,000",0,0.0
620,"10,000,000 - 20,000,000",999,9.99
630,"2,000,000 - 5,000,000",0,0.0
730,"100,000,000 - 200,000,000",0,0.0
1002,"20,000 - 50,000",99,0.99
1003,"0 - 20,000",0,0.0
1200,"200,000 - 500,000",499,4.99
1250,"2,000,000 - 5,000,000",1999,19.99
1300,"100,000 - 200,000",999,9.99
1313,"0 - 20,000",999,9.99
1500,"100,000 - 200,000",999,9.99
1502,"0 - 20,000",0,0.0
1510,"500,000 - 1,000,000",999,9.99
1520,"200,000 - 500,000",999,9.99
1522,"0 - 20,000",0,0.0
1530,"50,000 - 100,000",999,9.99
1540,"0 - 20,000",0,0.0
1600,"100,000 - 200,000",299,2.99
1610,"50,000 - 100,000",999,9.99
1620,"0 - 20,000",399,3.99
1630,"50,000 - 100,000",119,1.19
1640,"50,000 - 100,000",119,1.19
1670,"200,000 - 500,000",599,5.99
1690,"100,000 - 200,000",1499,14.99
1700,"200,000 - 500,000",164,1.64
1710,"0 - 20,000",0,0.0
1840,"1,000,000 - 2,000,000",0,0.0
1900,"200,000 - 500,000",999,9.99
1930,"1,000,000 - 2,000,000",1499,14.99
2100,"1,000,000 - 2,000,000",999,9.99
2120,"0 - 20,000",0,0.0
2200,"500,000 - 1,000,000",1499,14.99
2210,"200,000 - 500,000",1499,14.99
2270,"500,000 - 1,000,000",499,4.99
2310,"2,000,000 - 5,000,000",999,9.99
2320,"1,000,000 - 2,000,000",999,9.99
2360,"200,000 - 500,000",499,4.99
2370,"200,000 - 500,000",499,4.99
2390,"100,000 - 200,000",499,4.99
2400,"1,000,000 - 2,000,000",999,9.99
2420,"200,000 - 500,000",999,9.99
2450,"100,000 - 200,000",499,4.99
2500,"200,000 - 500,000",104,1.04
