app_id,review_score,total,total_bucket,total_bucket_range
10,9,241610,10,"100,000 - 500,000"
20,8,8409,7,"5,000 - 10,000"
30,8,6921,7,"5,000 - 10,000"
40,8,3066,6,"1,000 - 5,000"
50,9,23374,8,"10,000 - 50,000"
60,8,5804,7,"5,000 - 10,000"
70,9,134016,10,"100,000 - 500,000"
80,8,25536,8,"10,000 - 50,000"
130,8,17189,8,"10,000 - 50,000"
219,8,142,4,100 - 500
220,9,201004,10,"100,000 - 500,000"
240,9,175230,10,"100,000 - 500,000"
280,5,15578,8,"10,000 - 50,000"
300,8,22114,8,"10,000 - 50,000"
320,8,13160,8,"10,000 - 50,000"
340,8,13662,8,"10,000 - 50,000"
360,6,4274,6,"1,000 - 5,000"
380,9,31614,8,"10,000 - 50,000"
400,9,166265,10,"100,000 - 500,000"
410,8,214,4,100 - 500
420,9,41662,8,"10,000 - 50,000"
440,8,1121708,12,"1,000,000 - 5,000,000"
500,9,57875,9,"50,000 - 100,000"
550,9,892381,11,"500,000 - 1,000,000"
570,8,2340768,12,"1,000,000 - 5,000,000"
620,9,409076,10,"100,000 - 500,000"
630,8,21108,8,"10,000 - 50,000"
730,8,8360490,13,"5,000,000 - 10,000,000"
1002,6,114,4,100 - 500
1003,0,2,1,0 - 10
1200,8,2396,6,"1,000 - 5,000"
1250,9,65972,9,"50,000 - 100,000"
1300,8,1125,6,"1,000 - 5,000"
1313,8,369,4,100 - 500
1500,8,1056,6,"1,000 - 5,000"
1502,0,2,1,0 - 10
1510,8,2323,6,"1,000 - 5,000"
1520,8,4031,6,"1,000 - 5,000"
1522,8,62,3,50 - 100
1530,8,575,5,"500 - 1,000"
1540,0,4,1,0 - 10
1600,6,362,4,100 - 500
1610,8,258,4,100 - 500
1620,0,0,1,0 - 10
1630,8,1250,6,"1,000 - 5,000"
1640,8,1446,6,"1,000 - 5,000"
1670,5,287,4,100 - 500
1690,6,443,4,100 - 500
1700,8,2064,6,"1,000 - 5,000"
1710,0,3,1,0 - 10
1840,8,38973,8,"10,000 - 50,000"
1900,6,1365,6,"1,000 - 5,000"
1930,6,5481,7,"5,000 - 10,000"
2100,8,10156,8,"10,000 - 50,000"
2120,0,5,1,0 - 10
2200,9,3588,6,"1,000 - 5,000"
2210,8,3210,6,"1,000 - 5,000"
2270,8,3753,6,"1,000 - 5,000"
2310,9,13825,8,"10,000 - 50,000"
2320,9,8652,7,"5,000 - 10,000"
2360,8,701,5,"500 - 1,000"
2370,6,193,4,100 - 500
2390,8,1080,6,"1,000 - 5,000"
2400,8,5937,7,"5,000 - 10,000"
2420,6,931,5,"500 - 1,000"
2450,6,1053,6,"1,000 - 5,000"
2500,8,1540,6,"1,000 - 5,000"
2510,0,3,1,0 - 10
2520,5,129,4,100 - 500
2540,5,380,4,100 - 500
2590,5,1443,6,"1,000 - 5,000"
2600,8,13335,8,"10,000 - 50,000"
2610,8,1897,6,"1,000 - 5,000"
2620,8,6452,7,"5,000 - 10,000"
2630,8,9888,7,"5,000 - 10,000"
2640,8,1994,6,"1,000 - 5,000"
2700,8,5139,7,"5,000 - 10,000"
2710,8,550,5,"500 - 1,000"
2720,6,46,2,10 - 50
2730,0,1,1,0 - 10
2800,8,474,4,100 - 500
2810,6,666,5,"500 - 1,000"
2820,8,2736,6,"1,000 - 5,000"
2840,6,355,4,100 - 500
2850,6,120,4,100 - 500
2870,5,7260,7,"5,000 - 10,000"
2900,6,193,4,100 - 500
2910,8,435,4,100 - 500
2920,6,126,4,100 - 500
2990,9,17330,8,"10,000 - 50,000"
3010,8,531,5,"500 - 1,000"
3020,8,3693,6,"1,000 - 5,000"
3050,6,381,4,100 - 500
3130,8,783,5,"500 - 1,000"
3170,8,1176,6,"1,000 - 5,000"
3190,0,2,1,0 - 10
3210,0,3,1,0 - 10
3230,4,154,4,100 - 500
3260,5,600,5,"500 - 1,000"
3270,6,1047,6,"1,000 - 5,000"
3280,0,2,1,0 - 10
3300,8,565,5,"500 - 1,000"
3302,0,5,1,0 - 10
3310,8,1138,6,"1,000 - 5,000"
3312,0,2,1,0 - 10
3320,9,5426,7,"5,000 - 10,000"
3322,0,4,1,0 - 10
3330,9,4626,6,"1,000 - 5,000"
3332,0,2,1,0 - 10
3340,6,103,4,100 - 500
3342,0,1,1,0 - 10
3350,8,228,4,100 - 500
3352,0,2,1,0 - 10
3360,8,143,4,100 - 500
3362,0,1,1,0 - 10
3380,8,312,4,100 - 500
3382,0,1,1,0 - 10
3390,9,2098,6,"1,000 - 5,000"
3392,0,1,1,0 - 10
3400,8,58,3,50 - 100
3410,8,336,4,100 - 500
3412,0,1,1,0 - 10
3420,8,68,3,50 - 100
3422,0,1,1,0 - 10
3430,8,200,4,100 - 500
3432,0,2,1,0 - 10
