app_id,review_score,review_score_description,positive,negative,total,recommendations,steamspy_positive,steamspy_negative
10,9,Overwhelmingly Positive,235403,6207,241610,153259,235397,6207
20,8,Very Positive,7315,1094,8409,6268,7314,1092
30,8,Very Positive,6249,672,6921,4146,6246,672
40,8,Very Positive,2542,524,3066,2218,2541,525
50,9,Overwhelmingly Positive,22263,1111,23374,20144,22260,1112
60,8,Very Positive,4791,1013,5804,4145,4790,1013
70,9,Overwhelmingly Positive,129364,4652,134016,95770,129338,4660
80,8,Very Positive,23316,2220,25536,18898,23316,2218
130,8,Very Positive,15859,1330,17189,14830,15857,1330
219,8,Very Positive,132,10,142,,73753,2522
220,9,Overwhelmingly Positive,196153,4851,201004,159918,196156,4847
240,9,Overwhelmingly Positive,168737,6493,175230,120468,168731,6494
280,5,Mixed,10811,4767,15578,13549,10809,4765
300,8,Very Positive,20269,1845,22114,14840,20267,1843
320,8,Very Positive,11952,1208,13160,9006,11951,1208
340,8,Very Positive,12197,1465,13662,10673,12193,1465
360,6,Mostly Positive,3162,1112,4274,3613,3162,1111
380,9,Overwhelmingly Positive,30277,1337,31614,26112,30269,1338
400,9,Overwhelmingly Positive,163711,2554,166265,142984,163682,2552
410,8,Very Positive,206,8,214,,56543,1148
420,9,Overwhelmingly Positive,40443,1219,41662,34205,40440,1219
440,8,Very Positive,990978,130730,1121708,38824,990861,130895
500,9,Overwhelmingly Positive,55750,2125,57875,48645,55742,2127
550,9,Overwhelmingly Positive,870143,22238,892381,674128,870082,22241
570,8,Very Positive,1910300,430468,2340768,14315,1911902,430406
620,9,Overwhelmingly Positive,403732,5344,409076,338329,403681,5343
630,8,Very Positive,20019,1089,21108,302,20018,1087
730,8,Very Positive,7271193,1089297,8360490,4248820,7271086,1088861
1002,6,Mostly Positive,86,28,114,,86,28
1003,0,2 user reviews,0,2,2,,42,17
1200,8,Very Positive,2105,291,2396,1400,2110,308
1250,9,Overwhelmingly Positive,62849,3123,65972,37711,63046,3357
1300,8,Very Positive,1007,118,1125,769,1007,118
1313,8,Very Positive,300,69,369,290,299,69
1500,8,Very Positive,846,210,1056,730,846,210
1502,0,2 user reviews,2,0,2,,489,163
1510,8,Very Positive,2116,207,2323,1676,2115,207
1520,8,Very Positive,3512,519,4031,3185,3513,519
1522,8,Very Positive,56,6,62,,2103,360
1530,8,Very Positive,470,105,575,390,470,105
1540,0,4 user reviews,3,1,4,,382,77
