app_id,tag_count,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_18,tag_19,tag_20
10,20,1980s,1990's,Action,Assassin,Classic,Competitive,eSports,First-Person,FPS,Military,Multiplayer,Nostalgia,Old School,PvP,Score Attack,Shooter,Strategy,Survival,Tactical,Team-Based
20,20,1990's,Action,Class-Based,Classic,Co-op,Competitive,Fast-Paced,First-Person,FPS,Funny,Hero Shooter,Mod,Multiplayer,Old School,Online Co-Op,Remake,Retro,Shooter,Team-Based,Violent
30,20,Action,Class-Based,Classic,Co-op,Difficult,First-Person,FPS,Historical,Military,Multiplayer,Old School,Retro,Shooter,Singleplayer,Strategy,Tactical,Team-Based,Violent,War,World War II
40,17,1990's,Action,Arena Shooter,Classic,Co-op,Competitive,Difficult,Fast-Paced,First-Person,FPS,Gore,Multiplayer,Old School,Retro,Sci-fi,Shooter,Singleplayer,,,
50,20,1990's,Action,Adventure,Aliens,Atmospheric,Classic,Co-op,First-Person,FPS,Gore,Great Soundtrack,Military,Moddable,Puzzle,Retro,Sci-fi,Shooter,Silent Protagonist,Singleplayer,Story Rich
60,20,3D,Action,Classic,Competitive,Conspiracy,Cult Classic,Cyberpunk,First-Person,FPS,Great Soundtrack,Memes,Multiplayer,Old School,Platformer,Psychological Horror,Retro,Sci-fi,Shooter,Space,Sports
70,20,1990's,Action,Action-Adventure,Adventure,Aliens,Atmospheric,Classic,Difficult,First-Person,FPS,Gore,Moddable,Multiplayer,PvP,Retro,Sci-fi,Shooter,Silent Protagonist,Singleplayer,Story Rich
80,20,Action,Adventure,Atmospheric,Classic,Competitive,Dark,First-Person,FPS,Military,Multiplayer,Old School,Online Co-Op,Open World,Shooter,Simulation,Singleplayer,Strategy,Survival,Tactical,Team-Based
130,20,1990's,Action,Adventure,Aliens,Atmospheric,Classic,First-Person,FPS,Great Soundtrack,Moddable,Puzzle,Retro,Sci-fi,Shooter,Short,Silent Protagonist,Singleplayer,Story Rich,Violent,Zombies
220,20,Action,Adventure,Aliens,Atmospheric,Classic,Dystopian,First-Person,FPS,Great Soundtrack,Horror,Moddable,Multiplayer,Physics,Puzzle,Sci-fi,Shooter,Silent Protagonist,Singleplayer,Story Rich,Zombies
240,20,Action,Atmospheric,Competitive,Difficult,eSports,First-Person,FPS,Military,Moddable,Multiplayer,PvP,Sandbox,Shooter,Simulation,Singleplayer,Strategy,Survival,Tactical,Team-Based,War
280,20,1990's,Action,Adventure,Aliens,Atmospheric,Classic,First-Person,FPS,Gore,Great Soundtrack,Horror,Moddable,Multiplayer,Remake,Sci-fi,Shooter,Silent Protagonist,Singleplayer,Story Rich,Zombies
300,20,Action,Class-Based,Classic,First-Person,FPS,Gore,Historical,Massively Multiplayer,Military,Multiplayer,Online Co-Op,Realistic,Shooter,Simulation,Strategy,Tactical,Team-Based,Violent,War,World War II
320,20,Action,Adventure,Arena Shooter,Atmospheric,Co-op,Competitive,First-Person,FPS,Funny,Great Soundtrack,Mod,Moddable,Multiplayer,Old School,Physics,PvP,Sci-fi,Shooter,Singleplayer,Violent
340,20,Action,Adventure,Aliens,Atmospheric,Benchmark,Classic,Dystopian,First-Person,FPS,Free to Play,Futuristic,Great Soundtrack,Multiplayer,Post-apocalyptic,Sci-fi,Shooter,Short,Silent Protagonist,Singleplayer,Story Rich
360,19,Action,Adventure,Arena Shooter,Atmospheric,Classic,Competitive,Fast-Paced,First-Person,FPS,Gore,Great Soundtrack,Horror,Multiplayer,Remake,Retro,Sci-fi,Shooter,Singleplayer,Violent,
380,20,Action,Adventure,Aliens,Atmospheric,Cinematic,Classic,Dystopian,Episodic,First-Person,FPS,Great Soundtrack,Moddable,Puzzle,Sci-fi,Shooter,Short,Silent Protagonist,Singleplayer,Story Rich,Zombies
400,20,3D Platformer,Action,Adventure,Atmospheric,Classic,Comedy,Dark Humor,Female Protagonist,First-Person,FPS,Funny,Physics,Platformer,Puzzle,Puzzle Platformer,Sci-fi,Science,Short,Singleplayer,Story Rich
420,20,Action,Adventure,Aliens,Atmospheric,Classic,Dystopian,Episodic,First-Person,FPS,Great Soundtrack,Horror,Multiplayer,Post-apocalyptic,Puzzle,Sci-fi,Shooter,Silent Protagonist,Singleplayer,Story Rich,Zombies
440,20,Action,Cartoon,Cartoony,Class-Based,Co-op,Comedy,Competitive,Crafting,First-Person,FPS,Free to Play,Funny,Hero Shooter,Multiplayer,Online Co-Op,Robots,Shooter,Tactical,Team-Based,Trading
500,20,Action,Adventure,Atmospheric,Co-op,Competitive,Female Protagonist,First-Person,FPS,Horror,Moddable,Multiplayer,Online Co-Op,Post-apocalyptic,Replay Value,Shooter,Singleplayer,Survival,Tactical,Team-Based,Zombies
550,20,Action,Adventure,Co-op,First-Person,FPS,Gore,Horror,Local Co-Op,Moddable,Multiplayer,Online Co-Op,Post-apocalyptic,Replay Value,Shooter,Singleplayer,Survival,Survival Horror,Tactical,Team-Based,Zombies
570,20,Action,Action RPG,Character Customization,Co-op,Competitive,Difficult,eSports,Fantasy,Free to Play,MOBA,Multiplayer,Online Co-Op,PvP,Replay Value,RPG,RTS,Simulation,Strategy,Team-Based,Tower Defense
620,20,3D Platformer,Action,Action-Adventure,Adventure,Atmospheric,Co-op,Comedy,Dark Humor,Female Protagonist,First-Person,FPS,Funny,Level Editor,Physics,Platformer,Puzzle,Puzzle Platformer,Sci-fi,Science,Story Rich
