rank,source,app_id,name,release_year,developer,genres,key_tags,price_cents,price_usd,price_band,review_score,total,owners_range,pct_positive,metacritic,units_millions,revenue_musd,peak_ccu,performance_score,profile_fit_score,scale_tier,gamepass_status,evidence_strength,source_url
1,web_2025_2026,,R.E.P.O.,2025,semiwork,"Action, Indie","Co-op, Horror, Comedy, Multiplayer, Online Co-Op, Physics",999,9.99,$5-9.99,,,,96.1,,18.4,145.8,271000,,,indie,unverified,strong,https://medium.com/@research_86150/steam-in-2025-the-year-indie-games-ate-the-industry-alive-666abf04551f
2,web_2025_2026,,PEAK,2025,"Aggro Crab, Landfall","Adventure, Indie","Co-op, Survival, Climbing, Multiplayer, Physics, Comedy",799,7.99,$5-9.99,,,,94.6,,15.7,92.3,170000,,,indie,unverified,strong,https://medium.com/@research_86150/steam-in-2025-the-year-indie-games-ate-the-industry-alive-666abf04551f
3,web_2025_2026,,Schedule I,2025,TVGS,"Simulation, Indie, Strategy","Co-op, Crime, Open World, Management, Multiplayer, Sandbox",1999,19.99,$15-19.99,,,,97.8,,8.0,139.4,459000,,,indie,unverified,strong,https://medium.com/@research_86150/steam-in-2025-the-year-indie-games-ate-the-industry-alive-666abf04551f
4,web_2025_2026,,Hollow Knight: Silksong,2025,Team Cherry,"Action, Adventure, Indie","Metroidvania, 2D, Souls-like, Platformer, Difficult, Atmospheric",1999,19.99,$15-19.99,,,,87.3,90,5.1,81.6,,,,indie,on_gamepass,strong,https://respawn.outlookindia.com/gaming/gaming-news/xbox-game-pass-march-2026-cyberpunk-2077-silksong-lead-wave-1
5,web_2025_2026,,Megabonk,2025,Vedinad,"Action, Indie","Roguelike, Bullet Heaven, 3D, Action Roguelike, Singleplayer",,,,,,,94.0,,1.0,,117000,,,indie,unverified,strong,https://www.thegamer.com/megabonk-eighth-indie-to-hit-over-100000-steam-players-this-year/
6,web_2025_2026,1145350,Hades II,2025,Supergiant Games,"Action, Indie, RPG","Roguelike, Action Roguelike, Dungeon Crawler, Isometric, Mythology",,,,8,47991,"2,000,000 - 5,000,000",,95,,,,0.8218,4.8585,indie,unverified,strong,https://outrungaming.com/the-25-best-indie-games-of-2025/
7,web_2025_2026,,Deltarune,2025,Toby Fox,"Adventure, Indie, RPG","Story Rich, Turn-Based, Pixel Graphics, Comedy, Singleplayer",,,,,,,,86,,,,,,indie,unverified,strong,https://outrungaming.com/the-25-best-indie-games-of-2025/
8,web_2025_2026,,Bongo Cat,2025,Irox Games,"Casual, Indie, Free To Play","Idle, Clicker, Cute, Free to Play, Casual",0,0.00,free,,,,,,,,194000,,,indie,unverified,medium,https://www.thegamer.com/megabonk-eighth-indie-to-hit-over-100000-steam-players-this-year/
9,web_2025_2026,,Blue Prince,2025,Dogubomb,"Adventure, Indie, Strategy","Puzzle, Roguelite, Mystery, Exploration, Singleplayer, Atmospheric",,,,,,,,92,,,,,,indie,unverified,strong,https://outrungaming.com/the-25-best-indie-games-of-2025/
10,web_2025_2026,,Dispatch,2025,AdHoc Studio,"Adventure, Indie","Story Rich, Choices Matter, Episodic, Comedy, Superhero",2999,29.99,$20-29.99,,,,,89,,,,,,indie,unverified,strong,https://kotaku.com/steam-top-selling-2025-friendslop-rpgs-sales-2000654157
11,web_2025_2026,,Abiotic Factor,2025,Deep Field Games,"Action, Adventure, Indie, RPG","Open World Survival Craft, Co-op, Survival, Sci-fi, Crafting, Multiplayer",,,,,,,,88,,,,,,indie,unverified,strong,https://outrungaming.com/the-25-best-indie-games-of-2025/
12,web_2025_2026,,BALL x PIT,2025,Kenny Sun and Friends,"Action, Casual, Indie","Roguelite, Bullet Heaven, Base Building, Pixel Graphics",,,,,,,,84,,,,,,indie,unverified,strong,https://outrungaming.com/the-25-best-indie-games-of-2025/
