attribute_type,attribute,winner_count,winner_share,baseline_count,baseline_share,lift,log_odds_weight
genre,Massively Multiplayer,12,0.05882,1892,0.04135,1.423,0.3526
genre,Simulation,85,0.29739,17135,0.21647,1.374,0.3176
genre,Free To Play,30,0.11765,6932,0.09925,1.185,0.17
genre,Action,151,0.51307,38757,0.46489,1.104,0.0986
genre,Strategy,65,0.23203,16759,0.21215,1.094,0.0895
genre,RPG,64,0.22876,17167,0.21684,1.055,0.0535
genre,Adventure,121,0.41503,37807,0.45398,0.914,-0.0897
genre,Indie,247,0.8268,82296,0.96512,0.857,-0.1547
genre,Racing,6,0.03922,2918,0.05313,0.738,-0.3037
genre,Early Access,21,0.08824,9625,0.13019,0.678,-0.389
genre,Casual,64,0.22876,36965,0.4443,0.515,-0.6638
price_band,$20-29.99,57,0.20588,1384,0.03551,5.798,1.7575
price_band,$15-19.99,56,0.20261,3483,0.05962,3.398,1.2232
price_band,$30-39.99,12,0.05882,209,0.02201,2.673,0.9831
price_band,$10-14.99,44,0.1634,5826,0.08654,1.888,0.6355
price_band,$40+,6,0.03922,233,0.02228,1.76,0.5652
price_band,$5-9.99,46,0.16993,13657,0.17652,0.963,-0.038
price_band,$0.01-4.99,41,0.15359,30822,0.37373,0.411,-0.8892
price_band,free,38,0.14379,29718,0.36104,0.398,-0.9206
tag,Co-op,118,0.40523,4707,0.07369,5.499,1.7046
tag,Great Soundtrack,85,0.29739,3227,0.05668,5.246,1.6575
tag,Online Co-Op,82,0.28758,3158,0.05589,5.145,1.6381
tag,Multiplayer,167,0.56536,9142,0.12464,4.536,1.512
tag,Moddable,33,0.12745,775,0.02851,4.47,1.4974
tag,Sandbox,92,0.32026,5041,0.07752,4.131,1.4185
tag,Open World,88,0.30719,6169,0.09048,3.395,1.2223
tag,Open World Survival Craft,22,0.0915,661,0.0272,3.364,1.2131
tag,Difficult,83,0.29085,6363,0.09271,3.137,1.1433
tag,Building,57,0.20588,4433,0.07054,2.919,1.0711
tag,Memes,28,0.11111,1702,0.03916,2.837,1.0428
tag,Massively Multiplayer,25,0.10131,1461,0.03639,2.784,1.0238
tag,Survival,78,0.27451,7101,0.10119,2.713,0.998
tag,Base Building,37,0.14052,2846,0.05231,2.687,0.9883
tag,Local Co-Op,32,0.12418,2486,0.04817,2.578,0.947
tag,Crafting,42,0.15686,3841,0.06374,2.461,0.9006
tag,Replay Value,30,0.11765,2513,0.04848,2.427,0.8865
tag,Gore,42,0.15686,3942,0.0649,2.417,0.8826
tag,Team-Based,19,0.0817,1332,0.03491,2.34,0.8502
tag,Funny,95,0.33007,10644,0.1419,2.326,0.8442
tag,Survival Horror,40,0.15033,3966,0.06517,2.307,0.8358
tag,Competitive,15,0.06863,954,0.03057,2.245,0.8087
tag,Colony Sim,14,0.06536,837,0.02922,2.236,0.8049
tag,FPS,49,0.17974,5314,0.08066,2.228,0.8012
tag,First-Person,102,0.35294,12810,0.16678,2.116,0.7496
tag,Beautiful,11,0.05556,580,0.02627,2.115,0.7489
tag,Addictive,9,0.04902,349,0.02362,2.076,0.7302
tag,Classic,10,0.05229,492,0.02526,2.07,0.7275
tag,Management,36,0.13725,4096,0.06667,2.059,0.7221
tag,Blood,10,0.05229,533,0.02573,2.032,0.709
tag,Fast-Paced,20,0.08497,1942,0.04192,2.027,0.7065
tag,City Builder,17,0.07516,1540,0.0373,2.015,0.7006
tag,Local Multiplayer,28,0.11111,3216,0.05656,1.965,0.6753
tag,Mod,6,0.03922,49,0.02017,1.944,0.6648
tag,War,19,0.0817,2066,0.04334,1.885,0.6339
tag,Simulation,116,0.39869,17122,0.21633,1.843,0.6114
tag,4 Player Local,15,0.06863,1623,0.03825,1.794,0.5844
tag,Hack and Slash,26,0.10458,3383,0.05848,1.788,0.5813
tag,Short,17,0.07516,1952,0.04203,1.788,0.5812
tag,Horror,67,0.23856,10256,0.13744,1.736,0.5514
tag,Party Game,7,0.04248,479,0.02511,1.692,0.5258
tag,Atmospheric,112,0.38562,18179,0.22847,1.688,0.5235
tag,Tactical,27,0.10784,3853,0.06388,1.688,0.5237
tag,Lovecraftian,10,0.05229,998,0.03107,1.683,0.5204
tag,Fighting,10,0.05229,1009,0.0312,1.676,0.5163
tag,Comedy,42,0.15686,6452,0.09374,1.673,0.5149
tag,Roguelite,36,0.13725,5485,0.08263,1.661,0.5075
tag,Level Editor,12,0.05882,1380,0.03546,1.659,0.5061
tag,Violent,31,0.12092,4696,0.07356,1.644,0.497
tag,Psychological Horror,42,0.15686,6610,0.09555,1.642,0.4957
tag,Split Screen,8,0.04575,744,0.02816,1.625,0.4855
tag,Touch-Friendly,5,0.03595,247,0.02245,1.602,0.471
tag,Farming Sim,9,0.04902,974,0.0308,1.592,0.4648
tag,Turn-Based,13,0.06209,1711,0.03927,1.581,0.4583
tag,Physics,37,0.14052,6075,0.0894,1.572,0.4522
tag,Destruction,10,0.05229,1212,0.03353,1.559,0.4442
tag,Agriculture,7,0.04248,670,0.02731,1.556,0.442
tag,Souls-like,12,0.05882,1584,0.03781,1.556,0.4421
tag,Military,12,0.05882,1605,0.03805,1.546,0.4357
tag,Dungeon Crawler,21,0.08824,3266,0.05713,1.544,0.4347
tag,Dark Humor,15,0.06863,2166,0.04449,1.542,0.4334
tag,Resource Management,21,0.08824,3284,0.05734,1.539,0.431
tag,Strategy,96,0.33333,17180,0.21699,1.536,0.4293
tag,Free to Play,36,0.13725,6110,0.08981,1.528,0.4242
tag,Realistic,38,0.14379,6525,0.09457,1.52,0.419
tag,Underwater,6,0.03922,541,0.02582,1.519,0.4178
tag,Historical,14,0.06536,2054,0.04321,1.513,0.4139
tag,Roguelike,34,0.13072,5910,0.08751,1.494,0.4013
tag,Post-apocalyptic,18,0.07843,2912,0.05306,1.478,0.3907
tag,Character Customization,28,0.11111,4889,0.07578,1.466,0.3827
tag,Music,9,0.04902,1228,0.03372,1.454,0.3742
tag,Shooter,50,0.18301,9332,0.12682,1.443,0.3667
tag,Story Rich,78,0.27451,15025,0.19223,1.428,0.3563
tag,Swordplay,7,0.04248,885,0.02978,1.427,0.3554
tag,Voxel,6,0.03922,721,0.02789,1.406,0.3408
tag,Automation,7,0.04248,952,0.03055,1.391,0.3299
tag,Mature,17,0.07516,3026,0.05437,1.382,0.3238
tag,RTS,10,0.05229,1616,0.03817,1.37,0.3146
tag,Rhythm,8,0.04575,1213,0.03354,1.364,0.3104
tag,Action,188,0.63399,38766,0.465,1.363,0.31
tag,Economy,11,0.05556,1841,0.04076,1.363,0.3097
tag,Dating Sim,16,0.0719,2887,0.05278,1.362,0.3091
tag,Martial Arts,5,0.03595,591,0.0264,1.362,0.3088
tag,Procedural Generation,23,0.09477,4350,0.06959,1.362,0.3089
tag,Isometric,14,0.06536,2472,0.04801,1.361,0.3085
tag,Perma Death,12,0.05882,2097,0.0437,1.346,0.2972
tag,Singleplayer,243,0.81373,51290,0.60889,1.336,0.29
tag,Stealth,14,0.06536,2568,0.04911,1.331,0.2858
tag,Automobile Sim,6,0.03922,900,0.02995,1.309,0.2696
tag,Early Access,53,0.19281,11212,0.14842,1.299,0.2616
tag,Space Sim,6,0.03922,958,0.03061,1.281,0.2476
tag,RPG,79,0.27778,17180,0.21699,1.28,0.247
