fit_rank,app_id,name,release_date,genres,top_matching_tags,price_cents,price_usd,price_band,review_score,total,owners_range,owners_mid,performance_score,profile_fit_score,priority_score,evidence_tier,in_winner_cohort,in_top50_reference,gamepass_status,gamepass_note,is_top5_pick
1,418030,Subsistence,2016-10-25,"Action, Early Access","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Difficult, Building",1399,13.99,$10-14.99,6,12640,"500,000 - 1,000,000",750000,-0.5905,100.0,81.97,high,0,0,not_on_gamepass,"Subsistence - PC-only, no Xbox port found; checked 2026-08-21",1
3,526160,The Wild Eight,2019-10-03,"Action, Adventure, Indie, RPG, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Difficult, Survival",2499,24.99,$20-29.99,6,7257,"200,000 - 500,000",350000,-0.9711,98.52,79.23,high,0,0,not_on_gamepass,"The Wild Eight - purchasable on Xbox store, but not in Game Pass catalogue; checked 2026-08-21",1
5,1159690,Voidtrain,2023-05-09,"Action, Adventure, Early Access, Indie, RPG, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",2999,29.99,$20-29.99,6,5053,"200,000 - 500,000",350000,-1.0987,96.43,77.52,high,0,0,on_gamepass,"Voidtrain - added to Xbox Game Pass day-one, 2025-11-07 (Pure Xbox / Xbox Wire)",0
7,393420,Hurtworld,2019-12-10,"Action, Adventure, Simulation","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Crafting",2499,24.99,$20-29.99,6,31203,"500,000 - 1,000,000",750000,-0.2721,95.18,81.24,high,0,0,not_on_gamepass,Hurtworld - no Game Pass listing found; checked 2026-08-21,1
9,951440,Volcanoids,2019-01-29,"Action, Adventure, Early Access, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",1999,19.99,$15-19.99,8,8503,"200,000 - 500,000",350000,-0.3473,93.89,80.2,high,0,0,not_on_gamepass,"Volcanoids - PC-only, devs have only discussed a future console port; checked 2026-08-21",1
13,250400,How to Survive,2014-08-29,"Action, Adventure, RPG","Co-op, Online Co-Op, Multiplayer, Open World, Open World Survival Craft, Survival, Local Co-Op, Crafting",1499,14.99,$10-14.99,8,16960,"1,000,000 - 2,000,000",1500000,0.2495,92.15,82.46,high,0,0,not_on_gamepass,How to Survive - no current Game Pass listing found; checked 2026-08-21,1
31,313120,Stranded Deep,2022-08-10,"Adventure, Indie","Co-op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Crafting",1999,19.99,$15-19.99,6,44648,"1,000,000 - 2,000,000",1500000,0.0225,89.4,79.9,high,0,0,unverified,,0
33,803050,Per Aspera,2020-12-03,"Indie, Simulation, Strategy","Co-op, Online Co-Op, Multiplayer, Moddable, Sandbox, Building, Survival, Base Building",2999,29.99,$20-29.99,6,5270,"200,000 - 500,000",350000,-1.0838,89.08,73.92,high,0,0,unverified,,0
34,1307550,Craftopia,2020-09-04,"Action, Adventure, Early Access, Indie, RPG","Co-op, Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival",2499,24.99,$20-29.99,6,19231,"1,000,000 - 2,000,000",1500000,-0.2743,89.0,78.13,high,0,0,unverified,,0
35,1377380,Night of the Dead,2024-05-31,"Action, Adventure, Indie, RPG, Simulation","Online Co-Op, Multiplayer, Sandbox, Open World, Open World Survival Craft, Building, Survival, Base Building",2999,29.99,$20-29.99,6,10889,"200,000 - 500,000",350000,-0.8282,88.84,75.14,high,0,0,unverified,,0
