"app_id","category"
"10","Family Sharing"
"10","Multi-player"
"10","Online PvP"
"10","PvP"
"10","Shared/Split Screen PvP"
"10","Valve Anti-Cheat enabled"
"20","Family Sharing"
"20","Multi-player"
"20","Online PvP"
"20","PvP"
"20","Remote Play Together"
"20","Shared/Split Screen PvP"
"20","Valve Anti-Cheat enabled"
"30","Family Sharing"
"30","Multi-player"
"30","Valve Anti-Cheat enabled"
"40","Family Sharing"
"40","Multi-player"
"40","Online PvP"
"40","PvP"
"40","Remote Play Together"
"40","Shared/Split Screen PvP"
"40","Valve Anti-Cheat enabled"
"50","Family Sharing"
"50","Multi-player"
"50","Remote Play Together"
"50","Single-player"
"50","Valve Anti-Cheat enabled"
"60","Family Sharing"
"60","Multi-player"
"60","Online PvP"
"60","PvP"
"60","Valve Anti-Cheat enabled"
"70","Family Sharing"
"70","Full controller support"
"70","Multi-player"
"70","Online PvP"
"70","PvP"
"70","Remote Play on Phone"
"70","Remote Play on Tablet"
"70","Remote Play Together"
"70","Single-player"
"70","Steam Cloud"
"70","Valve Anti-Cheat enabled"
"80","Family Sharing"
"80","Multi-player"
"80","Single-player"
"80","Valve Anti-Cheat enabled"
"130","Family Sharing"
"130","Remote Play Together"
"130","Single-player"
"219","Game demo"
"219","Single-player"
"220","Captions available"
"220","Family Sharing"
"220","Full controller support"
"220","Includes Source SDK"
"220","Remote Play on Phone"
"220","Remote Play on Tablet"
"220","Remote Play Together"
"220","Single-player"
"220","Steam Achievements"
"220","Steam Cloud"
"220","Steam Trading Cards"
"240","Cross-Platform Multiplayer"
"240","Family Sharing"
"240","Includes Source SDK"
"240","Multi-player"
"240","Stats"
"240","Steam Achievements"
"240","Steam Cloud"
"240","Valve Anti-Cheat enabled"
"280","Family Sharing"
"280","Remote Play Together"
"280","Single-player"
"300","Cross-Platform Multiplayer"
"300","Family Sharing"
"300","Includes Source SDK"
"300","Multi-player"
"300","Stats"
"300","Steam Achievements"
"300","Steam Trading Cards"
"300","Valve Anti-Cheat enabled"
"320","Family Sharing"
"320","Includes Source SDK"
"320","Multi-player"
"320","Valve Anti-Cheat enabled"
"340","Remote Play Together"
"340","Для одного игрока"
"340","Поддержка комментариев"
"340","Семейный доступ"
"360","Familienbibliothek"
"360","Mehrspieler"
"360","Valve Anti-Cheat integriert"
"380","Remote Play Together"
"380","Steam Cloud"
"380","Для одного игрока"
"380","Достижения Steam"
"380","Поддержка комментариев"
"380","Поддержка субтитров"
"380","Полная поддержка контроллеров"
"380","С инструментами Source SDK"
"380","Семейный доступ"
"380","Статистика"
"400","Captions available"
"400","Commentary available"
"400","Family Sharing"
"400","Full controller support"
"400","Includes level editor"
"400","Includes Source SDK"
"400","Remote Play on Phone"
"400","Remote Play on Tablet"
"400","Remote Play Together"
"400","Single-player"
"400","Steam Achievements"
"410","Captions available"
"410","Game demo"
"410","Partial Controller Support"
"410","Single-player"
"420","Captions available"
"420","Commentary available"
"420","Family Sharing"
"420","Full controller support"
"420","Includes Source SDK"
