app_id,name,developer,publisher,composite_score,tier,recognition_pct,headroom_pct,fit_pct,review_total,review_positive_ratio,review_score_bucket,owners_range,owners_mid,price_usd,metacritic_score,has_controller_support,is_indie,is_self_published,has_coop,has_multiplayer,release_year,genres,tags,screen_review_total_ge_4000,screen_quality_ge_0.70,screen_owners_le_750k,screen_monetisation_paid,screen_is_indie_and_selfpublished,screen_controller_support,screen_gamepass_availability
253230,A Hat in Time,Gears for Breakfast,Gears for Breakfast,0.9728,Anchor,1.0,0.9827,0.7975,50390,0.9786,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,29.99,79,True,True,True,True,True,2017,Adventure|Indie,3D Platformer|Action|Adventure|Co-op|Collectathon|Colorful|Comedy|Cute|Exploration|Family Friendly|Female Protagonist|Funny|Great Soundtrack|Indie|Kickstarter,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
2273430,BlazBlue Entropy Effect,91Act,91Act,0.9602,Anchor,0.963,0.9802,0.8667,23190,0.9447,Very Positive,"200,000 .. 500,000",350000.0,19.99,,True,True,True,True,True,2024,Action|Adventure|Indie,2D|2D Fighter|2D Platformer|Action|Action Roguelike|Action-Adventure|Adventure|Anime|Cyberpunk|Hack and Slash|Indie|Multiple Endings|Pixel Graphics|Platformer|Post-apocalyptic,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
1256670,Library Of Ruina,ProjectMoon,ProjectMoon,0.9351,Anchor,0.9901,0.9111,0.7556,29181,0.9368,Very Positive,"500,000 .. 1,000,000",750000.0,29.99,,True,True,True,False,False,2021,Indie|RPG|Strategy,2D|Action|Anime|Card Battler|Card Game|Deckbuilding|Difficult|Gore|Great Soundtrack|Horror|Indie|Psychological Horror|RPG|Singleplayer|Story Rich,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
1189630,Path Of Wuxia,香港商河洛互動娛樂股份有限公司,香港商河洛互動娛樂股份有限公司,0.9284,Anchor,0.9926,0.916,0.6568,30091,0.7859,Mostly Positive,"500,000 .. 1,000,000",750000.0,34.99,,True,True,True,False,False,2022,Indie|RPG,Anime|Character Customization|Choices Matter|Dating Sim|Early Access|Female Protagonist|Indie|Martial Arts|RPG|Simulation|Story Rich|Time Management|Turn-Based|Turn-Based Combat,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
1055540,A Short Hike,adamgryu,adamgryu,0.9257,Anchor,0.9037,0.9556,0.916,17323,0.992,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,7.99,82,True,True,True,False,False,2019,Adventure|Indie,3D Platformer|Adventure|Beautiful|Casual|Cute|Exploration|Family Friendly|Female Protagonist|Flight|Funny|Great Soundtrack|Indie|Nature|Open World|Pixel Graphics,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
2218750,Halls of Torment,Chasing Carrots,Chasing Carrots,0.9163,Anchor,0.9802,0.8642,0.8049,24864,0.9589,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,4.99,88,True,True,True,False,False,2024,Action|Indie|RPG,2D|Action|Action RPG|Action Roguelike|Arcade|Atmospheric|Bullet Hell|Dark|Dark Fantasy|Demons|Fantasy|Gothic|Hack and Slash|Medieval|Pixel Graphics,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
241600,Rogue Legacy,Cellar Door Games,Cellar Door Games,0.9089,Anchor,0.921,0.9605,0.642,18349,0.9272,Very Positive,"200,000 .. 500,000",350000.0,14.99,85,True,True,True,False,False,2013,Action|Adventure|Indie|RPG,2D|Action|Action Roguelike|Addictive|Adventure|Arcade|Controller|Exploration|Fantasy|Indie|Medieval|Metroidvania|Pixel Graphics|Platformer|RPG,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
1703340,The Stanley Parable: Ultra Deluxe,Crows Crows Crows,Crows Crows Crows,0.9079,Anchor,0.9877,0.9012,0.5358,28048,0.9421,Very Positive,"500,000 .. 1,000,000",750000.0,24.99,,True,True,True,False,False,2022,Adventure|Casual|Indie,3D|Adventure|Atmospheric|Casual|Choices Matter|Comedy|Dark Humor|Emotional|Exploration|First-Person|Funny|Game Development|Horror|Multiple Endings|Mystery,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
1604000,Milk outside a bag of milk outside a bag of milk,Nikita Kryukov,Nikita Kryukov,0.902,Anchor,0.884,0.9432,0.8272,15928,0.9722,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,8.99,,False,True,True,False,False,2021,Casual|Indie,2D|Abstract|Anime|Casual|Choices Matter|Female Protagonist|Great Soundtrack|Horror|Indie|Multiple Endings|Pixel Graphics|Point & Click|Psychedelic|Psychological|Psychological Horror,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
1948280,Stacklands,Sokpop Collective,Sokpop Collective,0.902,Anchor,0.9778,0.8617,0.684,24557,0.9653,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,7.99,,True,True,True,False,False,2022,Casual|Indie|Simulation,2D|Building|Card Battler|Card Game|Casual|City Builder|Colorful|Cute|Deckbuilding|Fantasy|Hand-drawn|Indie|Management|Roguelite|Simulation,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
