app_id,name,developer,publisher,developer_title_count,composite_score,tier,recognition_pct,headroom_pct,fit_pct,review_total,review_positive_ratio,review_score_bucket,owners_range,owners_mid,price_usd,metacritic_score,has_controller_support,is_indie,is_self_published,has_coop,has_multiplayer,release_year,genres,tags,screen_review_total_ge_5000,screen_quality_ge_0.70,screen_owners_le_750k,screen_monetisation_paid,screen_is_indie_and_dev_title_count_le_10,screen_controller_support,screen_gamepass_availability
1288310,Firework,Shiying Studio,Gamera Games,2,0.9753,Anchor,0.9965,0.9668,0.9038,39637,0.9793,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,9.99,,True,True,False,False,False,2021,Indie,2D|Atmospheric|Conversation|Drama|Hand-drawn|Horror|Indie|Mystery|Narration|Old School|Psychological Horror|Puzzle|Puzzle Platformer|RPG|Retro,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
253230,A Hat in Time,Gears for Breakfast,Gears for Breakfast,1,0.9699,Anchor,1.0,0.9808,0.7762,50390,0.9786,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,29.99,79,True,True,True,True,True,2017,Adventure|Indie,3D Platformer|Action|Adventure|Co-op|Collectathon|Colorful|Comedy|Cute|Exploration|Family Friendly|Female Protagonist|Funny|Great Soundtrack|Indie|Kickstarter,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1135690,Unpacking,Witch Beam,Humble Games,2,0.9593,Anchor,0.9825,0.9301,0.9598,32385,0.9298,Very Positive,"500,000 .. 1,000,000",750000.0,19.99,83,True,True,False,False,False,2021,Casual|Indie|Simulation,2D|Atmospheric|Casual|Colorful|Cute|Family Friendly|Female Protagonist|Hidden Object|Indie|Inventory Management|Isometric|LGBTQ+|Life Sim|Pixel Graphics|Point & Click,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
2593370,The Hungry Lamb: Traveling in the Late Ming Dynasty,零创游戏(ZerocreationGame),"零创游戏(ZerocreationGame), 2P Games",4,0.9589,Anchor,0.9948,0.9633,0.7622,38601,0.967,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,7.49,,True,True,False,False,False,2024,Adventure|Indie|RPG,Adventure|Anime|Casual|Cooking|Cute|Dark|Dating Sim|Drama|Historical|Interactive Fiction|Medieval|Multiple Endings|Mystery|Psychological Horror|RPG,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
2273430,BlazBlue Entropy Effect,91Act,91Act,1,0.9502,Anchor,0.9423,0.979,0.8741,23190,0.9447,Very Positive,"200,000 .. 500,000",350000.0,19.99,,True,True,True,True,True,2024,Action|Adventure|Indie,2D|2D Fighter|2D Platformer|Action|Action Roguelike|Action-Adventure|Adventure|Anime|Cyberpunk|Hack and Slash|Indie|Multiple Endings|Pixel Graphics|Platformer|Post-apocalyptic,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
447530,VA-11 Hall-A: Cyberpunk Bartender Action,Sukeban Games,"Ysbryd Games, PLAYISM",2,0.949,Anchor,0.9878,0.9476,0.7605,34897,0.9749,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,14.99,77,False,True,False,False,False,2016,Adventure|Indie|Simulation,2D|Adventure|Anime|Casual|Choices Matter|Cute|Cyberpunk|Dystopian|Female Protagonist|Funny|LGBTQ+|Life Sim|Memes|Pixel Graphics|Point & Click,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
745920,Temtem,Crema,Humble Games,2,0.9474,Anchor,0.993,0.9615,0.6626,38583,0.8192,Very Positive,"500,000 .. 1,000,000",750000.0,44.99,79,False,True,False,False,False,,Aventura|Indie|Multijugador masivo|Rol,3D|Adventure|Anime|Cartoony|Character Customization|Co-op|Collectathon|Colorful|Creature Collector|Cute|Exploration|JRPG|MMORPG|Multiplayer|PvE,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1562700,SANABI,WONDER POTION,NEOWIZ,1,0.9446,Anchor,0.9773,0.9091,0.9231,30102,0.9745,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,14.99,,True,True,False,False,False,2023,Action|Adventure|Indie,2D|2D Platformer|Action|Action-Adventure|Adventure|Atmospheric|Cyberpunk|Difficult|Dystopian|Great Soundtrack|Indie|Linear|Pixel Graphics|Platformer|Precision Platformer,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
501300,What Remains of Edith Finch,Giant Sparrow,Annapurna Interactive,2,0.9409,Anchor,0.9983,0.9703,0.5367,41326,0.9572,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,19.99,89,True,True,False,False,False,2017,Adventure|Indie,Adventure|Atmospheric|Dark|Drama|Exploration|Female Protagonist|First-Person|Great Soundtrack|Horror|Indie|Lovecraftian|Mystery|Narration|Psychological Horror|Puzzle,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1369630,ENDER LILIES: Quietus of the Knights,"Live Wire, Adglobe",Binary Haze Interactive,1,0.9301,Anchor,0.9895,0.9493,0.5559,35018,0.9417,Very Positive,"500,000 .. 1,000,000",750000.0,24.99,86,True,True,False,False,False,2021,Action|Indie|RPG,2D|Action|Action RPG|Anime|Atmospheric|Dark|Dark Fantasy|Difficult|Dragons|Female Protagonist|Great Soundtrack|Hand-drawn|Indie|Medieval|Metroidvania,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1876890,Wandering Sword,The Swordman Studio,Spiral Up Games,1,0.9206,Anchor,0.9161,0.972,0.7378,19877,0.9335,Very Positive,"200,000 .. 500,000",350000.0,24.99,,True,True,False,False,False,2023,Adventure|Indie|RPG|Strategy,1990's|2.5D|Action RPG|Adventure|Drama|Foreign|Martial Arts|Open World|Pixel Graphics|RPG|Silent Protagonist|Singleplayer|Story Rich|Strategy|Swordplay,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1256670,Library Of Ruina,ProjectMoon,ProjectMoon,2,0.9196,Anchor,0.9738,0.9003,0.7255,29181,0.9368,Very Positive,"500,000 .. 1,000,000",750000.0,29.99,,True,True,True,False,False,2021,Indie|RPG|Strategy,2D|Action|Anime|Card Battler|Card Game|Deckbuilding|Difficult|Gore|Great Soundtrack|Horror|Indie|Psychological Horror|RPG|Singleplayer|Story Rich,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
638230,Journey,thatgamecompany,Annapurna Interactive,2,0.9184,Anchor,0.9808,0.9283,0.5664,32370,0.9442,Very Positive,"500,000 .. 1,000,000",750000.0,14.99,,True,True,False,True,True,2020,Adventure|Indie,3D|Adventure|Atmospheric|Beautiful|Casual|Classic|Co-op|Exploration|Family Friendly|Great Soundtrack|Indie|Multiplayer|Music|Mystery|Narrative,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1055540,A Short Hike,adamgryu,adamgryu,1,0.9164,Anchor,0.8811,0.9598,0.9196,17323,0.992,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,7.99,82,True,True,True,False,False,2019,Adventure|Indie,3D Platformer|Adventure|Beautiful|Casual|Cute|Exploration|Family Friendly|Female Protagonist|Flight|Funny|Great Soundtrack|Indie|Nature|Open World|Pixel Graphics,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1189630,Path Of Wuxia,香港商河洛互動娛樂股份有限公司,香港商河洛互動娛樂股份有限公司,4,0.9128,Anchor,0.9755,0.9073,0.6206,30091,0.7859,Mostly Positive,"500,000 .. 1,000,000",750000.0,34.99,,True,True,True,False,False,2022,Indie|RPG,Anime|Character Customization|Choices Matter|Dating Sim|Early Access|Female Protagonist|Indie|Martial Arts|RPG|Simulation|Story Rich|Time Management|Turn-Based|Turn-Based Combat,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1210320,Potion Craft: Alchemist Simulator,niceplay games,tinyBuild,1,0.9072,Anchor,0.979,0.9213,0.4913,31904,0.9137,Very Positive,"500,000 .. 1,000,000",750000.0,19.99,,True,True,False,False,False,2022,Indie|Simulation,2D|Capitalism|Casual|Choices Matter|Crafting|Farming Sim|Hand-drawn|Historical|Indie|Life Sim|Management|Medieval|Point & Click|RPG|Relaxing,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1392820,Milk inside a bag of milk inside a bag of milk,Nikita Kryukov,Missing Calm,2,0.9059,Anchor,0.9668,0.8671,0.757,26566,0.9686,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,1.49,,False,True,False,False,False,2020,Adventure|Indie,Abstract|Adventure|Anime|Drama|Emotional|Experimental|Horror|Indie|Interactive Fiction|LGBTQ+|Perma Death|Philosophical|Pixel Graphics|Psychological|Psychological Horror,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
653530,Return of the Obra Dinn,Lucas Pope,3909,2,0.9045,Anchor,0.965,0.8654,0.7587,26518,0.9682,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,13.39,89,True,True,False,False,False,2018,Adventure|Indie,Adventure|Atmospheric|Detective|Difficult|First-Person|Great Soundtrack|Historical|Horror|Indie|Multiple Endings|Mystery|Naval|Noir|Pirates|Puzzle,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1931770,Chants of Sennaar,Rundisc,Focus Entertainment,2,0.9028,Anchor,0.8689,0.9545,0.8654,17036,0.9837,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,12.99,86,True,True,False,False,False,2023,Adventure|Indie,Action-Adventure|Adventure|Atmospheric|Colorful|Detective|Difficult|Exploration|Great Soundtrack|Indie|Mystery|Mythology|Point & Click|Puzzle|Puzzle Platformer|Relaxing,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
241600,Rogue Legacy,Cellar Door Games,Cellar Door Games,3,0.8949,Anchor,0.8969,0.965,0.6049,18349,0.9272,Very Positive,"200,000 .. 500,000",350000.0,14.99,85,True,True,True,False,False,2013,Action|Adventure|Indie|RPG,2D|Action|Action Roguelike|Addictive|Adventure|Arcade|Controller|Exploration|Fantasy|Indie|Medieval|Metroidvania|Pixel Graphics|Platformer|RPG,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
2218750,Halls of Torment,Chasing Carrots,Chasing Carrots,4,0.8932,Anchor,0.958,0.8357,0.799,24864,0.9589,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,4.99,88,True,True,True,False,False,2024,Action|Indie|RPG,2D|Action|Action RPG|Action Roguelike|Arcade|Atmospheric|Bullet Hell|Dark|Dark Fantasy|Demons|Fantasy|Gothic|Hack and Slash|Medieval|Pixel Graphics,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
824270,KovaaK's,KovaaK Games,KovaaK Games,1,0.8923,Anchor,0.9843,0.9913,0.0367,32859,0.9271,Very Positive,"200,000 .. 500,000",350000.0,9.99,,False,True,True,False,False,2018,Action|Indie|Simulation,Action|Controller|FPS|First-Person|Indie|Multiplayer|Shooter|Simulation|Singleplayer|Software Training,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1880330,Sanfu,Shiying Studio,Gamera Games,2,0.8921,Anchor,0.8497,0.9388,0.9178,15929,0.8253,Very Positive,"200,000 .. 500,000",350000.0,10.99,,True,True,False,False,False,2023,Adventure|Indie|RPG,2D|Adventure|Atmospheric|Colorful|Crime|Detective|Drama|Emotional|Fantasy|Hand-drawn|Investigation|Mystery|Old School|Puzzle|Puzzle Platformer,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1703340,The Stanley Parable: Ultra Deluxe,Crows Crows Crows,Crows Crows Crows,2,0.892,Anchor,0.972,0.8899,0.5,28048,0.9421,Very Positive,"500,000 .. 1,000,000",750000.0,24.99,,True,True,True,False,False,2022,Adventure|Casual|Indie,3D|Adventure|Atmospheric|Casual|Choices Matter|Comedy|Dark Humor|Emotional|Exploration|First-Person|Funny|Game Development|Horror|Multiple Endings|Mystery,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
